Creditability,Account_Balance,Duration_of_Credit__month,Payment_Status_of_Previous_Credit,Purpose,Value_Savings_Stocks,Length_of_current_employment
0,4,"02 [8,16)",4,0,1,1
0,1,"02 [8,16)",2,3,3,5
0,4,"03 [16,45)",2,0,1,2
0,4,"03 [16,45)",4,0,2,4
0,4,"01 (-Inf,8)",2,3,1,4
0,4,"03 [16,45)",4,5,1,3
0,4,"03 [16,45)",2,1,1,4
0,4,"01 (-Inf,8)",4,3,1,5
0,4,"02 [8,16)",4,3,5,5
0,4,"03 [16,45)",4,1,5,3
0,4,"03 [16,45)",4,2,1,5
0,1,"01 (-Inf,8)",2,0,2,5
0,4,"01 (-Inf,8)",4,0,3,3
0,4,"01 (-Inf,8)",2,6,1,2
0,2,"03 [16,45)",4,0,2,2
0,2,"03 [16,45)",2,2,1,2
0,4,"02 [8,16)",2,0,4,4
0,2,"03 [16,45)",2,3,2,2
0,2,"03 [16,45)",3,9,2,4
1,4,"03 [16,45)",2,6,1,3
1,4,"03 [16,45)",2,3,5,2
1,4,"03 [16,45)",4,2,1,2
1,4,"03 [16,45)",2,2,1,3
1,4,"03 [16,45)",2,2,1,1
0,4,"01 (-Inf,8)",2,3,1,3
0,4,"03 [16,45)",2,3,5,2
0,2,"02 [8,16)",4,1,1,1
0,4,"03 [16,45)",4,3,1,3
0,1,"02 [8,16)",2,3,1,3
0,2,"02 [8,16)",2,3,1,4
0,4,"03 [16,45)",2,3,1,3
0,4,"03 [16,45)",4,3,1,3
0,4,"01 (-Inf,8)",4,3,1,4
0,4,"03 [16,45)",4,1,5,4
0,3,"02 [8,16)",2,3,1,3
0,1,"03 [16,45)",4,3,1,4
0,1,"03 [16,45)",2,3,1,2
0,2,"03 [16,45)",2,3,1,5
0,4,"01 (-Inf,8)",4,0,1,4
0,4,"01 (-Inf,8)",4,0,1,4
0,4,"01 (-Inf,8)",4,3,5,5
0,2,"03 [16,45)",0,2,1,3
1,2,"02 [8,16)",2,3,1,2
0,2,"04 [45,Inf)",2,3,5,4
1,2,"02 [8,16)",2,2,1,3
0,2,"03 [16,45)",4,2,1,2
0,4,"01 (-Inf,8)",4,3,1,4
0,2,"02 [8,16)",2,9,1,2
0,2,"03 [16,45)",2,3,5,3
0,3,"02 [8,16)",4,3,5,4
0,2,"02 [8,16)",2,0,4,3
0,4,"02 [8,16)",4,2,3,4
0,2,"02 [8,16)",2,0,1,4
0,4,"02 [8,16)",4,6,1,4
0,4,"02 [8,16)",2,0,1,3
0,4,"02 [8,16)",2,8,5,4
0,2,"02 [8,16)",2,2,4,2
0,4,"03 [16,45)",3,9,1,3
0,2,"04 [45,Inf)",0,0,3,2
0,3,"02 [8,16)",2,2,1,2
0,4,"03 [16,45)",2,1,5,1
0,2,"02 [8,16)",2,9,3,5
0,4,"03 [16,45)",4,0,5,2
0,4,"03 [16,45)",4,1,1,4
1,2,"04 [45,Inf)",2,0,2,2
0,3,"03 [16,45)",2,3,2,5
0,4,"03 [16,45)",3,9,2,3
0,2,"03 [16,45)",3,3,2,4
0,2,"03 [16,45)",3,9,2,4
0,4,"01 (-Inf,8)",4,0,2,3
0,4,"02 [8,16)",4,2,1,5
0,4,"04 [45,Inf)",2,3,5,4
0,3,"02 [8,16)",2,0,1,2
0,4,"03 [16,45)",2,6,5,3
0,2,"03 [16,45)",2,1,1,2
0,2,"03 [16,45)",1,2,4,3
0,2,"03 [16,45)",2,1,1,3
0,2,"04 [45,Inf)",0,9,5,3
1,1,"03 [16,45)",2,2,1,5
1,1,"02 [8,16)",2,6,1,3
1,1,"03 [16,45)",4,2,3,3
1,1,"03 [16,45)",2,3,5,4
1,1,"03 [16,45)",1,3,1,4
1,1,"03 [16,45)",2,2,2,1
1,4,"03 [16,45)",2,3,2,5
1,1,"02 [8,16)",2,4,2,1
1,1,"02 [8,16)",2,2,1,5
0,1,"03 [16,45)",2,1,1,4
0,1,"03 [16,45)",4,0,1,5
0,1,"03 [16,45)",2,2,1,3
0,1,"03 [16,45)",2,3,1,4
0,2,"02 [8,16)",2,2,1,2
0,1,"02 [8,16)",2,2,1,3
0,1,"02 [8,16)",4,7,1,5
1,1,"03 [16,45)",4,2,1,2
1,1,"03 [16,45)",1,0,1,1
0,1,"03 [16,45)",0,2,1,3
0,1,"03 [16,45)",4,2,1,3
0,1,"02 [8,16)",2,2,1,3
0,1,"03 [16,45)",4,0,1,5
0,1,"03 [16,45)",2,3,1,5
1,1,"03 [16,45)",2,2,1,4
1,1,"03 [16,45)",2,1,1,3
0,4,"03 [16,45)",4,2,1,4
0,1,"01 (-Inf,8)",2,0,5,1
0,1,"02 [8,16)",2,2,1,3
1,1,"03 [16,45)",2,2,1,5
0,1,"02 [8,16)",4,2,1,3
0,2,"01 (-Inf,8)",3,2,1,1
0,1,"01 (-Inf,8)",4,0,1,4
0,1,"04 [45,Inf)",2,1,1,4
0,2,"03 [16,45)",2,2,2,5
1,2,"02 [8,16)",2,0,2,2
0,1,"02 [8,16)",2,2,1,3
0,1,"02 [8,16)",2,2,1,3
0,1,"02 [8,16)",2,2,1,2
0,1,"03 [16,45)",2,1,1,1
0,1,"02 [8,16)",2,0,1,3
0,1,"03 [16,45)",4,1,1,5
0,1,"03 [16,45)",2,0,2,4
1,1,"03 [16,45)",2,2,1,2
0,2,"02 [8,16)",4,0,1,4
0,4,"03 [16,45)",2,1,5,3
0,4,"03 [16,45)",4,7,1,1
0,1,"02 [8,16)",4,1,1,5
0,1,"02 [8,16)",2,2,1,3
0,1,"03 [16,45)",4,1,1,1
0,1,"01 (-Inf,8)",4,2,1,1
0,4,"02 [8,16)",2,0,5,1
0,4,"03 [16,45)",4,3,4,5
0,4,"01 (-Inf,8)",2,8,5,1
0,1,"02 [8,16)",2,2,1,1
0,1,"02 [8,16)",4,2,1,3
0,1,"03 [16,45)",2,2,1,4
0,1,"03 [16,45)",2,2,1,3
0,1,"03 [16,45)",2,2,1,1
0,1,"03 [16,45)",2,0,1,4
0,1,"03 [16,45)",2,2,1,2
1,1,"02 [8,16)",4,2,1,5
0,1,"02 [8,16)",4,9,1,2
0,1,"03 [16,45)",4,2,1,5
0,1,"03 [16,45)",4,1,1,5
0,1,"03 [16,45)",4,2,1,3
0,3,"03 [16,45)",0,9,1,2
0,1,"03 [16,45)",4,1,1,5
1,1,"04 [45,Inf)",4,1,1,5
0,4,"03 [16,45)",4,6,1,5
0,1,"03 [16,45)",2,7,1,1
0,4,"03 [16,45)",4,3,2,5
0,4,"04 [45,Inf)",3,3,5,5
0,2,"03 [16,45)",3,9,2,5
0,2,"03 [16,45)",2,9,2,3
0,2,"03 [16,45)",2,2,5,3
0,2,"01 (-Inf,8)",2,3,5,5
0,2,"02 [8,16)",2,8,5,5
0,4,"03 [16,45)",4,3,5,5
0,2,"04 [45,Inf)",3,9,5,3
0,2,"03 [16,45)",3,9,5,5
1,2,"03 [16,45)",4,3,2,2
0,2,"01 (-Inf,8)",2,3,1,3
0,2,"01 (-Inf,8)",2,3,1,3
0,2,"01 (-Inf,8)",2,3,1,2
0,2,"02 [8,16)",2,3,1,3
0,2,"02 [8,16)",2,3,1,4
0,2,"02 [8,16)",3,3,1,3
0,2,"01 (-Inf,8)",2,3,1,5
0,1,"02 [8,16)",4,0,1,5
0,2,"02 [8,16)",2,3,1,3
0,2,"01 (-Inf,8)",2,3,1,2
0,2,"02 [8,16)",4,3,1,2
0,2,"03 [16,45)",2,3,1,3
0,2,"01 (-Inf,8)",2,3,1,3
0,2,"02 [8,16)",2,3,1,2
0,2,"03 [16,45)",2,3,1,5
0,2,"03 [16,45)",2,3,1,3
0,2,"02 [8,16)",2,3,1,4
0,2,"02 [8,16)",2,3,1,2
0,3,"01 (-Inf,8)",4,0,2,5
0,1,"02 [8,16)",4,3,1,3
0,2,"03 [16,45)",4,3,1,5
0,2,"02 [8,16)",4,3,5,4
0,2,"01 (-Inf,8)",2,3,1,4
0,2,"02 [8,16)",1,3,1,3
0,2,"02 [8,16)",2,3,1,5
0,2,"03 [16,45)",3,1,5,4
0,2,"02 [8,16)",4,3,5,5
0,1,"02 [8,16)",2,3,1,3
0,4,"03 [16,45)",4,2,1,4
0,2,"02 [8,16)",2,2,1,3
0,2,"03 [16,45)",1,4,5,2
0,3,"03 [16,45)",2,2,1,2
1,1,"03 [16,45)",2,3,2,3
0,4,"04 [45,Inf)",2,3,2,4
0,1,"02 [8,16)",2,0,1,3
0,2,"01 (-Inf,8)",2,5,1,2
0,4,"02 [8,16)",3,1,1,2
0,4,"02 [8,16)",2,2,1,3
0,4,"04 [45,Inf)",3,3,1,4
0,3,"02 [8,16)",3,0,1,3
0,4,"03 [16,45)",2,3,1,3
0,2,"04 [45,Inf)",4,1,2,1
0,1,"03 [16,45)",4,3,4,5
1,1,"03 [16,45)",2,1,5,5
0,2,"03 [16,45)",4,1,1,3
0,1,"03 [16,45)",3,6,5,3
0,1,"03 [16,45)",2,2,4,5
0,1,"01 (-Inf,8)",4,3,5,5
0,4,"02 [8,16)",2,4,3,4
0,3,"03 [16,45)",4,2,5,5
0,2,"03 [16,45)",4,0,5,5
1,1,"04 [45,Inf)",1,9,1,4
0,4,"04 [45,Inf)",4,6,1,3
0,4,"03 [16,45)",2,0,1,5
0,1,"03 [16,45)",4,5,1,1
0,4,"03 [16,45)",4,9,5,5
0,4,"02 [8,16)",4,6,5,5
0,4,"01 (-Inf,8)",2,0,1,3
0,4,"03 [16,45)",0,5,1,3
0,1,"04 [45,Inf)",2,6,1,4
1,4,"03 [16,45)",2,9,4,3
1,2,"03 [16,45)",2,2,5,2
1,2,"04 [45,Inf)",2,3,2,3
1,2,"04 [45,Inf)",3,6,1,5
0,3,"02 [8,16)",2,6,1,5
0,4,"03 [16,45)",3,1,1,3
0,4,"03 [16,45)",3,1,5,4
0,1,"03 [16,45)",2,2,1,3
0,2,"03 [16,45)",2,1,1,3
0,4,"03 [16,45)",2,0,3,4
0,4,"02 [8,16)",2,0,1,5
0,4,"03 [16,45)",4,1,5,3
0,2,"04 [45,Inf)",3,3,5,3
0,2,"03 [16,45)",1,1,1,1
0,4,"04 [45,Inf)",2,0,5,3
0,4,"02 [8,16)",4,1,4,5
0,1,"02 [8,16)",2,0,1,1
0,1,"03 [16,45)",2,1,1,5
0,4,"01 (-Inf,8)",2,4,3,3
0,2,"02 [8,16)",2,3,1,5
0,4,"03 [16,45)",4,3,4,3
0,2,"02 [8,16)",2,5,1,5
0,2,"03 [16,45)",0,1,2,5
0,4,"02 [8,16)",2,2,1,4
0,4,"02 [8,16)",2,3,4,4
1,1,"03 [16,45)",2,2,5,3
0,4,"03 [16,45)",4,1,5,5
0,4,"03 [16,45)",2,1,5,4
0,4,"01 (-Inf,8)",2,2,1,3
0,2,"03 [16,45)",2,1,5,5
0,4,"03 [16,45)",4,5,1,5
0,2,"02 [8,16)",2,6,1,4
0,3,"03 [16,45)",2,2,1,5
0,2,"03 [16,45)",3,0,2,5
1,1,"02 [8,16)",2,0,1,3
1,2,"02 [8,16)",4,6,4,5
1,2,"03 [16,45)",2,1,3,2
1,2,"01 (-Inf,8)",2,0,5,1
1,1,"02 [8,16)",0,0,1,5
1,1,"03 [16,45)",4,0,1,5
1,1,"02 [8,16)",0,0,1,3
1,2,"03 [16,45)",2,0,1,3
1,2,"03 [16,45)",4,0,1,2
1,2,"04 [45,Inf)",2,3,1,4
1,1,"03 [16,45)",2,3,1,3
1,4,"03 [16,45)",0,0,5,3
1,2,"04 [45,Inf)",2,6,1,3
1,4,"03 [16,45)",3,0,1,5
1,4,"02 [8,16)",2,3,1,4
1,2,"03 [16,45)",4,3,1,4
1,4,"03 [16,45)",4,0,1,3
1,2,"02 [8,16)",1,0,2,4
1,1,"02 [8,16)",2,4,5,3
1,1,"03 [16,45)",2,3,1,1
1,1,"02 [8,16)",2,0,1,2
1,1,"03 [16,45)",2,4,1,3
1,1,"03 [16,45)",2,0,1,4
1,1,"03 [16,45)",3,9,1,4
1,1,"03 [16,45)",2,0,1,2
1,2,"03 [16,45)",3,2,1,5
1,1,"01 (-Inf,8)",4,2,1,3
1,2,"03 [16,45)",4,3,1,3
1,4,"02 [8,16)",2,6,2,3
1,2,"03 [16,45)",4,2,1,4
1,1,"03 [16,45)",3,3,1,2
1,2,"03 [16,45)",2,0,1,5
1,2,"01 (-Inf,8)",1,6,4,2
1,1,"02 [8,16)",1,3,1,3
1,4,"03 [16,45)",2,3,3,5
1,2,"01 (-Inf,8)",1,0,2,2
1,2,"02 [8,16)",3,5,4,3
1,2,"03 [16,45)",0,9,1,3
1,2,"03 [16,45)",4,2,1,2
1,2,"02 [8,16)",0,0,1,2
1,3,"02 [8,16)",2,3,1,2
1,1,"03 [16,45)",1,2,1,2
1,1,"02 [8,16)",2,6,1,2
1,3,"03 [16,45)",3,9,1,5
1,2,"03 [16,45)",0,9,1,5
1,3,"03 [16,45)",2,2,1,3
1,3,"03 [16,45)",4,6,1,2
1,1,"03 [16,45)",2,0,5,5
1,3,"03 [16,45)",2,0,1,4
1,1,"03 [16,45)",2,0,5,3
1,1,"03 [16,45)",2,0,5,4
1,1,"03 [16,45)",2,0,5,3
1,2,"03 [16,45)",2,0,5,3
1,1,"02 [8,16)",2,0,5,3
1,1,"03 [16,45)",2,0,1,2
1,2,"03 [16,45)",0,0,2,2
1,1,"04 [45,Inf)",3,9,1,5
1,1,"03 [16,45)",2,2,1,5
1,1,"01 (-Inf,8)",1,6,1,5
1,2,"04 [45,Inf)",2,9,1,3
1,1,"04 [45,Inf)",2,9,1,5
1,4,"03 [16,45)",2,5,1,2
1,1,"03 [16,45)",2,3,1,3
1,2,"02 [8,16)",1,1,1,5
1,4,"03 [16,45)",3,2,1,4
1,3,"02 [8,16)",2,0,2,5
1,1,"02 [8,16)",2,0,1,4
1,2,"02 [8,16)",2,2,1,3
1,4,"02 [8,16)",2,2,1,2
1,2,"04 [45,Inf)",2,3,4,4
1,1,"03 [16,45)",3,6,1,3
1,1,"03 [16,45)",2,3,1,2
1,1,"03 [16,45)",2,3,1,3
1,1,"03 [16,45)",3,3,1,2
1,2,"01 (-Inf,8)",3,0,1,1
1,2,"04 [45,Inf)",0,9,2,4
1,1,"02 [8,16)",4,0,1,5
1,2,"02 [8,16)",2,5,1,3
1,2,"04 [45,Inf)",2,3,1,3
1,2,"03 [16,45)",0,3,1,3
1,4,"03 [16,45)",3,3,1,3
1,4,"03 [16,45)",3,9,5,2
1,3,"03 [16,45)",2,3,1,3
1,4,"01 (-Inf,8)",2,2,1,2
1,2,"03 [16,45)",2,1,1,3
1,4,"03 [16,45)",0,9,1,3
1,2,"03 [16,45)",2,2,1,4
1,4,"03 [16,45)",1,0,1,5
1,4,"02 [8,16)",2,0,3,3
1,1,"03 [16,45)",2,6,5,5
1,2,"03 [16,45)",4,2,1,2
1,4,"02 [8,16)",2,2,3,3
1,2,"03 [16,45)",2,7,1,3
1,2,"03 [16,45)",4,7,1,3
1,2,"03 [16,45)",4,3,3,3
1,2,"03 [16,45)",3,3,2,2
1,2,"04 [45,Inf)",1,7,2,5
1,2,"03 [16,45)",2,3,2,3
1,2,"03 [16,45)",2,6,2,3
1,2,"04 [45,Inf)",2,3,2,3
1,1,"02 [8,16)",1,3,1,3
1,2,"03 [16,45)",4,9,1,5
1,3,"03 [16,45)",4,0,5,4
1,4,"03 [16,45)",2,2,1,2
1,1,"04 [45,Inf)",2,0,1,4
1,1,"03 [16,45)",1,2,3,2
1,1,"03 [16,45)",2,3,1,3
1,1,"03 [16,45)",2,3,1,2
1,1,"02 [8,16)",2,3,2,2
1,4,"04 [45,Inf)",2,9,5,3
1,1,"04 [45,Inf)",2,9,1,2
1,2,"02 [8,16)",2,3,1,2
1,4,"03 [16,45)",4,0,1,4
1,1,"03 [16,45)",4,6,1,3
1,3,"02 [8,16)",4,3,5,3
1,2,"02 [8,16)",2,0,1,2
1,2,"03 [16,45)",2,1,1,2
1,2,"02 [8,16)",2,2,2,2
1,2,"03 [16,45)",2,0,1,2
1,1,"04 [45,Inf)",2,4,1,3
1,4,"03 [16,45)",4,0,1,3
1,4,"03 [16,45)",2,3,1,1
1,4,"03 [16,45)",3,9,1,2
1,2,"03 [16,45)",1,6,1,4
1,2,"03 [16,45)",4,0,1,1
1,2,"03 [16,45)",4,0,1,1
1,1,"04 [45,Inf)",2,3,1,3
1,1,"02 [8,16)",2,3,1,2
1,1,"03 [16,45)",1,7,5,5
1,1,"03 [16,45)",2,2,1,1
1,3,"02 [8,16)",0,3,1,2
1,1,"04 [45,Inf)",2,0,1,5
1,2,"02 [8,16)",1,0,2,3
1,2,"02 [8,16)",2,0,2,3
1,2,"04 [45,Inf)",2,0,2,4
1,1,"03 [16,45)",2,0,1,2
1,1,"03 [16,45)",4,6,1,3
1,1,"03 [16,45)",2,3,1,2
1,2,"03 [16,45)",2,2,2,2
1,2,"04 [45,Inf)",2,0,1,4
1,1,"03 [16,45)",4,1,1,4
1,2,"02 [8,16)",2,3,5,3
1,1,"03 [16,45)",2,2,1,1
1,2,"03 [16,45)",3,2,1,1
1,2,"03 [16,45)",2,1,1,1
1,4,"03 [16,45)",3,9,3,2
1,4,"03 [16,45)",2,0,1,3
1,2,"03 [16,45)",2,9,1,3
1,4,"02 [8,16)",2,0,5,3
1,1,"03 [16,45)",2,0,1,4
1,1,"02 [8,16)",2,0,1,2
1,2,"03 [16,45)",3,0,1,5
1,1,"03 [16,45)",2,2,1,3
1,1,"03 [16,45)",0,2,1,2
1,1,"03 [16,45)",4,2,1,3
1,1,"03 [16,45)",1,2,1,3
1,1,"03 [16,45)",2,2,1,4
1,1,"03 [16,45)",3,0,1,1
1,1,"04 [45,Inf)",0,2,1,3
1,1,"03 [16,45)",3,0,1,3
1,1,"02 [8,16)",4,0,1,5
1,1,"03 [16,45)",3,3,1,4
1,1,"03 [16,45)",1,2,1,5
1,1,"03 [16,45)",0,2,1,5
1,1,"03 [16,45)",2,2,1,3
1,1,"02 [8,16)",2,2,1,3
1,2,"02 [8,16)",0,2,1,2
1,1,"04 [45,Inf)",0,1,1,5
1,1,"04 [45,Inf)",4,1,1,5
1,1,"03 [16,45)",1,2,1,4
1,1,"02 [8,16)",1,0,1,2
1,1,"03 [16,45)",2,0,1,4
1,1,"03 [16,45)",0,9,1,1
1,1,"03 [16,45)",3,6,1,2
1,1,"03 [16,45)",2,2,1,3
1,1,"03 [16,45)",1,9,1,3
1,1,"02 [8,16)",2,8,1,4
1,1,"04 [45,Inf)",2,1,1,4
1,2,"04 [45,Inf)",0,9,1,3
1,2,"03 [16,45)",4,0,1,5
1,1,"02 [8,16)",2,0,1,2
1,2,"02 [8,16)",2,0,1,5
1,1,"02 [8,16)",2,0,1,4
1,1,"03 [16,45)",4,0,1,5
1,1,"03 [16,45)",4,0,1,3
1,2,"02 [8,16)",2,2,1,3
1,2,"03 [16,45)",4,0,1,5
1,2,"03 [16,45)",2,0,1,2
1,2,"03 [16,45)",3,0,2,5
1,4,"04 [45,Inf)",4,0,3,3
1,2,"02 [8,16)",2,0,1,5
1,4,"02 [8,16)",2,6,1,5
1,2,"03 [16,45)",2,0,5,3
1,1,"02 [8,16)",2,3,1,5
1,2,"02 [8,16)",1,0,2,1
1,4,"02 [8,16)",2,2,1,3
1,4,"03 [16,45)",1,1,5,1
1,1,"03 [16,45)",1,0,1,4
1,4,"02 [8,16)",4,3,5,5
1,2,"04 [45,Inf)",4,3,1,2
1,3,"02 [8,16)",4,0,3,4
1,2,"03 [16,45)",2,9,1,5
1,4,"04 [45,Inf)",4,1,2,3
1,3,"02 [8,16)",1,9,1,2
1,1,"03 [16,45)",4,5,1,1
1,2,"03 [16,45)",2,9,2,5
1,2,"03 [16,45)",2,2,2,3
1,2,"03 [16,45)",0,9,2,3
1,2,"03 [16,45)",2,3,2,2
1,4,"03 [16,45)",2,0,5,3
1,2,"02 [8,16)",2,3,1,2
1,2,"04 [45,Inf)",0,9,1,2
1,1,"03 [16,45)",2,2,1,2
1,2,"02 [8,16)",2,3,1,5
1,2,"04 [45,Inf)",2,2,1,2
1,4,"03 [16,45)",3,9,1,2
1,1,"03 [16,45)",2,3,1,3
1,1,"04 [45,Inf)",2,3,1,3
1,1,"03 [16,45)",1,0,5,3
1,4,"04 [45,Inf)",2,9,1,1
1,2,"03 [16,45)",0,9,1,5
1,3,"03 [16,45)",2,3,1,3
1,1,"04 [45,Inf)",0,9,1,5
1,1,"01 (-Inf,8)",2,6,1,2
1,1,"03 [16,45)",2,5,1,2
1,2,"04 [45,Inf)",0,7,1,3
1,1,"01 (-Inf,8)",2,0,1,5
1,2,"02 [8,16)",2,2,5,5
1,1,"02 [8,16)",2,1,1,5
1,2,"03 [16,45)",2,3,1,2
1,4,"03 [16,45)",3,9,1,3
1,2,"04 [45,Inf)",4,2,1,3
1,1,"03 [16,45)",2,3,1,3
1,1,"04 [45,Inf)",2,3,1,4
1,4,"02 [8,16)",4,9,1,1
1,1,"02 [8,16)",2,0,1,5
1,1,"02 [8,16)",2,3,2,4
1,1,"03 [16,45)",2,0,1,2
1,2,"03 [16,45)",2,0,1,3
1,1,"03 [16,45)",2,6,1,1
1,2,"03 [16,45)",2,1,1,5
1,1,"03 [16,45)",2,1,5,5
1,1,"03 [16,45)",4,0,1,5
1,1,"02 [8,16)",0,3,1,3
1,1,"03 [16,45)",2,3,1,3
1,1,"03 [16,45)",2,0,1,5
1,4,"03 [16,45)",4,0,5,5
1,2,"02 [8,16)",2,3,5,1
1,1,"03 [16,45)",2,2,5,5
