"Creditability","Maturity","Amount","Age"
0,"01 (-Inf,8)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
0,"01 (-Inf,8)","01 (-Inf,3914)","02 [26,35)"
0,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
0,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
0,"02 [8,12)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
0,"01 (-Inf,8)","01 (-Inf,3914)","02 [26,35)"
0,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"01 (-Inf,8)","01 (-Inf,3914)","02 [26,35)"
0,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
0,"05 [36,45)","02 [3914,6758)","02 [26,35)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
0,"06 [45,Inf)","03 [6758,Inf)","01 (-Inf,26)"
0,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
0,"01 (-Inf,8)","01 (-Inf,3914)","01 (-Inf,26)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
0,"06 [45,Inf)","03 [6758,Inf)","01 (-Inf,26)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
0,"06 [45,Inf)","02 [3914,6758)","02 [26,35)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","03 [35,Inf)"
0,"05 [36,45)","02 [3914,6758)","02 [26,35)"
0,"04 [16,36)","03 [6758,Inf)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"01 (-Inf,8)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
0,"06 [45,Inf)","02 [3914,6758)","02 [26,35)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"05 [36,45)","01 (-Inf,3914)","03 [35,Inf)"
0,"05 [36,45)","02 [3914,6758)","03 [35,Inf)"
0,"02 [8,12)","01 (-Inf,3914)","03 [35,Inf)"
0,"01 (-Inf,8)","01 (-Inf,3914)","02 [26,35)"
0,"05 [36,45)","01 (-Inf,3914)","02 [26,35)"
0,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","01 (-Inf,26)"
1,"06 [45,Inf)","02 [3914,6758)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
0,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
0,"04 [16,36)","02 [3914,6758)","02 [26,35)"
0,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
0,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
0,"05 [36,45)","03 [6758,Inf)","03 [35,Inf)"
0,"06 [45,Inf)","02 [3914,6758)","02 [26,35)"
0,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
0,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
0,"05 [36,45)","02 [3914,6758)","03 [35,Inf)"
0,"01 (-Inf,8)","01 (-Inf,3914)","03 [35,Inf)"
0,"02 [8,12)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","02 [3914,6758)","02 [26,35)"
0,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
0,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
0,"04 [16,36)","02 [3914,6758)","01 (-Inf,26)"
0,"01 (-Inf,8)","01 (-Inf,3914)","01 (-Inf,26)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
0,"02 [8,12)","01 (-Inf,3914)","03 [35,Inf)"
0,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
0,"05 [36,45)","01 (-Inf,3914)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"01 (-Inf,8)","03 [6758,Inf)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"05 [36,45)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
1,"05 [36,45)","02 [3914,6758)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","01 (-Inf,26)"
1,"05 [36,45)","01 (-Inf,3914)","01 (-Inf,26)"
1,"05 [36,45)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"01 (-Inf,8)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","03 [35,Inf)"
1,"01 (-Inf,8)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"01 (-Inf,8)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"01 (-Inf,8)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","01 (-Inf,26)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"02 [8,12)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"02 [8,12)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
1,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"01 (-Inf,8)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","02 [3914,6758)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","01 (-Inf,26)"
1,"05 [36,45)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","02 [3914,6758)","02 [26,35)"
1,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
1,"05 [36,45)","02 [3914,6758)","02 [26,35)"
1,"01 (-Inf,8)","02 [3914,6758)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","01 (-Inf,26)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"05 [36,45)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"05 [36,45)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","03 [35,Inf)"
1,"06 [45,Inf)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"05 [36,45)","01 (-Inf,3914)","02 [26,35)"
1,"05 [36,45)","02 [3914,6758)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","03 [35,Inf)"
1,"06 [45,Inf)","02 [3914,6758)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"05 [36,45)","02 [3914,6758)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"06 [45,Inf)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"05 [36,45)","03 [6758,Inf)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","02 [26,35)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"05 [36,45)","03 [6758,Inf)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"05 [36,45)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","02 [3914,6758)","02 [26,35)"
1,"05 [36,45)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","02 [3914,6758)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"06 [45,Inf)","02 [3914,6758)","01 (-Inf,26)"
1,"06 [45,Inf)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"05 [36,45)","03 [6758,Inf)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"05 [36,45)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","03 [6758,Inf)","02 [26,35)"
1,"02 [8,12)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"06 [45,Inf)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","02 [3914,6758)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"01 (-Inf,8)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","03 [6758,Inf)","02 [26,35)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"01 (-Inf,8)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"06 [45,Inf)","02 [3914,6758)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"06 [45,Inf)","03 [6758,Inf)","02 [26,35)"
1,"03 [12,16)","01 (-Inf,3914)","03 [35,Inf)"
1,"03 [12,16)","03 [6758,Inf)","03 [35,Inf)"
1,"03 [12,16)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","02 [26,35)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","03 [6758,Inf)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
1,"03 [12,16)","02 [3914,6758)","02 [26,35)"
1,"04 [16,36)","01 (-Inf,3914)","01 (-Inf,26)"
1,"04 [16,36)","01 (-Inf,3914)","03 [35,Inf)"
1,"04 [16,36)","03 [6758,Inf)","02 [26,35)"
1,"03 [12,16)","02 [3914,6758)","03 [35,Inf)"
1,"04 [16,36)","02 [3914,6758)","02 [26,35)"
